,Weekday - Level 2 - Diversified (Median) of 100 EVs
0,1.3248000000000002
1,1.3248000000000002
2,1.3248000000000002
3,1.2512
4,1.2512
5,1.2512
6,1.2512
7,1.2144
8,1.1776
9,1.1776
10,1.1776
11,1.1776
12,1.1776
13,1.1776
14,1.1776
15,1.1776
16,1.1776
17,1.1776
18,1.1776
19,1.1776
20,1.1776
21,1.104
22,1.104
23,1.104
24,1.104
25,1.104
26,1.104
27,1.104
28,1.104
29,1.104
30,1.104
31,1.104
32,1.104
33,1.0304
34,1.0304
35,1.0304
36,1.0304
37,1.0304
38,1.0304
39,1.0304
40,1.0304
41,0.9568000000000001
42,0.9568000000000001
43,0.9568000000000001
44,0.9568000000000001
45,0.9568000000000001
46,0.9568000000000001
47,0.9568000000000001
48,0.9568000000000001
49,0.9568000000000001
50,0.9200000000000002
51,0.9200000000000002
52,0.9200000000000002
53,0.8832000000000001
54,0.8832000000000001
55,0.8832000000000001
56,0.8832000000000001
57,0.8832000000000001
58,0.8832000000000001
59,0.8832000000000001
60,0.8832000000000001
61,0.8832000000000001
62,0.8832000000000001
63,0.8832000000000001
64,0.8464
65,0.8096000000000001
66,0.8096000000000001
67,0.8096000000000001
68,0.8096000000000001
69,0.8096000000000001
70,0.8096000000000001
71,0.8096000000000001
72,0.8096000000000001
73,0.8096000000000001
74,0.8096000000000001
75,0.7360000000000001
76,0.7360000000000001
77,0.7360000000000001
78,0.7360000000000001
79,0.7360000000000001
80,0.7360000000000001
81,0.7360000000000001
82,0.7360000000000001
83,0.7360000000000001
84,0.7360000000000001
85,0.6624000000000001
86,0.6624000000000001
87,0.6624000000000001
88,0.6624000000000001
89,0.6624000000000001
90,0.6624000000000001
91,0.6624000000000001
92,0.6624000000000001
93,0.6624000000000001
94,0.6624000000000001
95,0.5888
96,0.5888
97,0.5888
98,0.552
99,0.552
100,0.552
101,0.552
102,0.5152
103,0.5152
104,0.5152
105,0.5152
106,0.5152
107,0.5152
108,0.5152
109,0.5152
110,0.5152
111,0.5152
112,0.5152
113,0.5152
114,0.5152
115,0.5152
116,0.47840000000000005
117,0.44160000000000005
118,0.44160000000000005
119,0.44160000000000005
120,0.44160000000000005
121,0.44160000000000005
122,0.44160000000000005
123,0.44160000000000005
124,0.44160000000000005
125,0.44160000000000005
126,0.44160000000000005
127,0.44160000000000005
128,0.40480000000000005
129,0.40480000000000005
130,0.40480000000000005
131,0.36800000000000005
132,0.36800000000000005
133,0.36800000000000005
134,0.36800000000000005
135,0.36800000000000005
136,0.36800000000000005
137,0.36800000000000005
138,0.36800000000000005
139,0.36800000000000005
140,0.36800000000000005
141,0.36800000000000005
142,0.36800000000000005
143,0.2944
144,0.2944
