,"Weekday - Level 2 - Diversified (Average) of 1,200 EVs"
0,0.9101866666666634
1,0.9058933333333302
2,0.9015999999999968
3,0.8973066666666635
4,0.8801333333333305
5,0.8801333333333305
6,0.8758399999999972
7,0.8457866666666642
8,0.8457866666666642
9,0.8457866666666642
10,0.8371999999999977
11,0.8371999999999977
12,0.8371999999999977
13,0.8371999999999977
14,0.8329066666666645
15,0.8200266666666646
16,0.8200266666666646
17,0.8071466666666648
18,0.7985599999999983
19,0.7985599999999983
20,0.7899733333333318
21,0.7813866666666651
22,0.777093333333332
23,0.7685066666666653
24,0.7685066666666653
25,0.7642133333333321
26,0.7556266666666654
27,0.7470399999999989
28,0.7427466666666657
29,0.7470399999999989
30,0.7427466666666657
31,0.7427466666666657
32,0.7427466666666657
33,0.7341599999999991
34,0.7255733333333326
35,0.7212799999999994
36,0.7255733333333326
37,0.7255733333333326
38,0.7083999999999995
39,0.699813333333333
40,0.6955199999999997
41,0.6826399999999998
42,0.66976
43,0.6654666666666667
44,0.6611733333333335
45,0.6440000000000003
46,0.6440000000000003
47,0.6440000000000003
48,0.6440000000000003
49,0.6482933333333336
50,0.6440000000000003
51,0.6440000000000003
52,0.6440000000000003
53,0.6397066666666671
54,0.6354133333333338
55,0.6268266666666672
56,0.6268266666666672
57,0.6225333333333339
58,0.6182400000000007
59,0.6182400000000007
60,0.6096533333333342
61,0.6096533333333342
62,0.6096533333333342
63,0.6010666666666675
64,0.5967733333333343
65,0.5924800000000009
66,0.5924800000000009
67,0.5796000000000009
68,0.5796000000000009
69,0.5753066666666675
70,0.5753066666666675
71,0.5710133333333343
72,0.5667200000000009
73,0.5495466666666675
74,0.5409600000000009
75,0.5366666666666675
76,0.5323733333333341
77,0.5280800000000008
78,0.5280800000000008
79,0.5237866666666675
80,0.5237866666666675
81,0.5152000000000008
82,0.5066133333333341
83,0.5023200000000008
84,0.49802666666666745
85,0.48944000000000076
86,0.4851466666666674
87,0.48944000000000076
88,0.4851466666666674
89,0.4851466666666674
90,0.4851466666666674
91,0.4765600000000007
92,0.46368000000000065
93,0.46368000000000065
94,0.455093333333334
95,0.44650666666666733
96,0.442213333333334
97,0.42504000000000064
98,0.4121600000000006
99,0.40357333333333395
100,0.40357333333333395
101,0.40357333333333395
102,0.3949866666666672
103,0.39928000000000063
104,0.3906933333333339
105,0.3906933333333339
106,0.3906933333333339
107,0.3906933333333339
108,0.3906933333333339
109,0.3778133333333339
110,0.3735200000000006
111,0.36493333333333383
112,0.36493333333333383
113,0.36493333333333383
114,0.3606400000000005
115,0.3563466666666672
116,0.3520533333333339
117,0.34346666666666714
118,0.34346666666666714
119,0.3391733333333338
120,0.33488000000000046
121,0.33058666666666714
122,0.32629333333333377
123,0.32200000000000045
124,0.3177066666666671
125,0.3091200000000004
126,0.3091200000000004
127,0.3091200000000004
128,0.3048266666666671
129,0.3048266666666671
130,0.30053333333333376
131,0.2962400000000004
132,0.2919466666666671
133,0.2833600000000004
134,0.2833600000000004
135,0.279066666666667
136,0.27477333333333365
137,0.27477333333333365
138,0.27048000000000033
139,0.27048000000000033
140,0.266186666666667
141,0.25760000000000033
142,0.253306666666667
143,0.24901333333333364
144,0.24901333333333364
145,0.2361333333333336
146,0.2361333333333336
147,0.2318400000000003
148,0.22754666666666692
149,0.21466666666666692
150,0.21037333333333358
151,0.20608000000000026
152,0.20608000000000026
153,0.20608000000000026
154,0.20608000000000026
155,0.20608000000000026
156,0.2017866666666669
157,0.1932000000000002
158,0.1932000000000002
159,0.1932000000000002
160,0.1932000000000002
161,0.18890666666666686
162,0.18890666666666686
163,0.18461333333333355
164,0.18461333333333355
165,0.18461333333333355
166,0.18461333333333355
167,0.18461333333333355
168,0.18461333333333355
169,0.17602666666666686
170,0.17602666666666686
171,0.17173333333333352
172,0.17173333333333352
173,0.16744000000000017
174,0.16744000000000017
175,0.16744000000000017
176,0.16744000000000017
177,0.16744000000000017
178,0.16314666666666683
179,0.16314666666666683
180,0.16314666666666683
181,0.16314666666666683
182,0.16314666666666683
183,0.16314666666666683
184,0.16314666666666683
185,0.16314666666666683
186,0.16314666666666683
187,0.16314666666666683
188,0.16314666666666683
189,0.15885333333333349
190,0.15456000000000014
191,0.15456000000000014
192,0.15456000000000014
193,0.15456000000000014
194,0.15456000000000014
195,0.15456000000000014
196,0.15456000000000014
197,0.15456000000000014
198,0.15456000000000014
199,0.15456000000000014
200,0.15456000000000014
201,0.1502666666666668
202,0.1502666666666668
203,0.1502666666666668
204,0.14597333333333348
205,0.14597333333333348
206,0.14597333333333348
207,0.1416800000000001
208,0.13738666666666677
209,0.13738666666666677
210,0.13738666666666677
211,0.13738666666666677
212,0.1288000000000001
213,0.1288000000000001
214,0.1288000000000001
215,0.12450666666666677
