,Weekend - Level 1 - Diversified (75th percentile) of 100 EVs
0,0.40480000000000005
1,0.40480000000000005
2,0.40480000000000005
3,0.40480000000000005
4,0.40480000000000005
5,0.40480000000000005
6,0.36800000000000005
7,0.36800000000000005
8,0.36800000000000005
9,0.36800000000000005
10,0.36800000000000005
11,0.36800000000000005
12,0.36800000000000005
13,0.36800000000000005
14,0.36800000000000005
15,0.36800000000000005
16,0.36800000000000005
17,0.36800000000000005
18,0.36800000000000005
19,0.36800000000000005
20,0.36800000000000005
21,0.33120000000000005
22,0.33120000000000005
23,0.33120000000000005
24,0.33120000000000005
25,0.33120000000000005
26,0.33120000000000005
27,0.33120000000000005
28,0.33120000000000005
29,0.33120000000000005
30,0.33120000000000005
31,0.33120000000000005
32,0.33120000000000005
33,0.33120000000000005
34,0.33120000000000005
35,0.3036
36,0.2944
37,0.2944
38,0.2944
39,0.2944
40,0.2944
41,0.2668
42,0.2576
43,0.2576
44,0.2576
45,0.2576
46,0.2576
47,0.2576
48,0.2576
49,0.2576
50,0.2576
51,0.2576
52,0.2576
53,0.2576
54,0.2576
55,0.2576
56,0.22080000000000002
57,0.22080000000000002
58,0.22080000000000002
59,0.22080000000000002
60,0.22080000000000002
61,0.22080000000000002
62,0.18400000000000002
63,0.18400000000000002
64,0.18400000000000002
65,0.18400000000000002
66,0.18400000000000002
67,0.18400000000000002
68,0.18400000000000002
69,0.18400000000000002
70,0.18400000000000002
71,0.18400000000000002
72,0.18400000000000002
73,0.18400000000000002
74,0.18400000000000002
75,0.18400000000000002
76,0.18400000000000002
77,0.18400000000000002
78,0.18400000000000002
79,0.18400000000000002
80,0.18400000000000002
81,0.18400000000000002
82,0.18400000000000002
83,0.18400000000000002
84,0.18400000000000002
85,0.18400000000000002
86,0.18400000000000002
87,0.18400000000000002
88,0.1472
89,0.1472
90,0.1472
91,0.1472
92,0.1472
93,0.1472
94,0.1472
95,0.1472
96,0.1472
97,0.1472
98,0.1472
99,0.1472
100,0.1472
101,0.1472
102,0.1472
103,0.1472
104,0.1472
105,0.1472
106,0.1472
107,0.11040000000000001
108,0.11040000000000001
109,0.11040000000000001
110,0.11040000000000001
111,0.11040000000000001
112,0.11040000000000001
113,0.11040000000000001
114,0.11040000000000001
115,0.11040000000000001
116,0.11040000000000001
117,0.11040000000000001
118,0.11040000000000001
119,0.11040000000000001
120,0.11040000000000001
121,0.11040000000000001
122,0.11040000000000001
123,0.11040000000000001
124,0.11040000000000001
125,0.11040000000000001
126,0.11040000000000001
127,0.11040000000000001
128,0.11040000000000001
129,0.11040000000000001
130,0.11040000000000001
131,0.11040000000000001
132,0.11040000000000001
133,0.11040000000000001
134,0.11040000000000001
135,0.11040000000000001
136,0.11040000000000001
137,0.11040000000000001
138,0.11040000000000001
139,0.11040000000000001
140,0.11040000000000001
141,0.11040000000000001
142,0.11040000000000001
143,0.11040000000000001
144,0.11040000000000001
145,0.11040000000000001
146,0.11040000000000001
147,0.11040000000000001
148,0.11040000000000001
149,0.11040000000000001
150,0.11040000000000001
151,0.11040000000000001
152,0.11040000000000001
153,0.11040000000000001
154,0.11040000000000001
155,0.11040000000000001
156,0.11040000000000001
157,0.11040000000000001
158,0.11040000000000001
159,0.11040000000000001
160,0.0736
161,0.0736
162,0.0736
163,0.0736
164,0.0736
165,0.0736
166,0.0736
167,0.0736
168,0.0736
169,0.0736
170,0.0736
171,0.0736
172,0.0736
173,0.0736
174,0.0736
175,0.0736
176,0.0736
177,0.0736
178,0.0736
179,0.0736
180,0.0736
181,0.0736
182,0.0736
183,0.0736
184,0.0736
185,0.0736
186,0.0736
187,0.0736
188,0.0736
189,0.0736
190,0.0736
191,0.0736
192,0.0736
193,0.0736
194,0.0736
195,0.0736
196,0.0736
197,0.0736
198,0.0736
199,0.0736
200,0.0736
201,0.0736
202,0.0736
203,0.0736
204,0.0736
205,0.0736
