,"Weekend - Level 1 - Diversified (Average) of 1,200 EVs"
0,0.35266666666666724
1,0.3557333333333339
2,0.3557333333333339
3,0.35266666666666724
4,0.34040000000000054
5,0.3342666666666672
6,0.32813333333333383
7,0.32813333333333383
8,0.3312000000000005
9,0.3220000000000005
10,0.31893333333333385
11,0.31280000000000047
12,0.31280000000000047
13,0.31280000000000047
14,0.3097333333333338
15,0.3097333333333338
16,0.3097333333333338
17,0.30666666666666714
18,0.30666666666666714
19,0.3005333333333338
20,0.3005333333333338
21,0.2913333333333338
22,0.2882666666666671
23,0.2882666666666671
24,0.28520000000000045
25,0.28213333333333374
26,0.2790666666666671
27,0.2760000000000004
28,0.2790666666666671
29,0.2790666666666671
30,0.2790666666666671
31,0.27293333333333375
32,0.2698666666666671
33,0.2668000000000004
34,0.26066666666666705
35,0.2576000000000004
36,0.25146666666666706
37,0.24533333333333368
38,0.24533333333333368
39,0.23920000000000036
40,0.23920000000000036
41,0.23000000000000034
42,0.2208000000000003
43,0.2116000000000003
44,0.21466666666666698
45,0.2116000000000003
46,0.21466666666666698
47,0.21466666666666698
48,0.21466666666666698
49,0.21466666666666698
50,0.21466666666666698
51,0.21466666666666698
52,0.21466666666666698
53,0.20546666666666696
54,0.20546666666666696
55,0.20240000000000027
56,0.19320000000000026
57,0.19320000000000026
58,0.19320000000000026
59,0.19320000000000026
60,0.18400000000000025
61,0.1778666666666669
62,0.17173333333333354
63,0.16866666666666688
64,0.16866666666666688
65,0.16866666666666688
66,0.16866666666666688
67,0.16866666666666688
68,0.16866666666666688
69,0.16560000000000022
70,0.16253333333333353
71,0.16253333333333353
72,0.16253333333333353
73,0.15946666666666687
74,0.15946666666666687
75,0.15946666666666687
76,0.15946666666666687
77,0.15946666666666687
78,0.15946666666666687
79,0.15946666666666687
80,0.15946666666666687
81,0.16253333333333353
82,0.15026666666666685
83,0.15026666666666685
84,0.1441333333333335
85,0.14106666666666684
86,0.14106666666666684
87,0.1349333333333335
88,0.13186666666666683
89,0.13186666666666683
90,0.13186666666666683
91,0.12880000000000014
92,0.1226666666666668
93,0.11960000000000012
94,0.11960000000000012
95,0.11960000000000012
96,0.11653333333333346
97,0.11653333333333346
98,0.11346666666666679
99,0.11346666666666679
100,0.11346666666666679
101,0.11346666666666679
102,0.11346666666666679
103,0.11346666666666679
104,0.11346666666666679
105,0.11040000000000011
106,0.11040000000000011
107,0.10426666666666677
108,0.10426666666666677
109,0.10426666666666677
110,0.10426666666666677
111,0.10426666666666677
112,0.10426666666666677
113,0.10426666666666677
114,0.10426666666666677
115,0.10426666666666677
116,0.10426666666666677
117,0.10426666666666677
118,0.1012000000000001
119,0.1012000000000001
120,0.1012000000000001
121,0.1012000000000001
122,0.1012000000000001
123,0.1012000000000001
124,0.1012000000000001
125,0.09813333333333342
126,0.09813333333333342
127,0.09813333333333342
128,0.09506666666666674
129,0.09506666666666674
130,0.09506666666666674
131,0.09506666666666674
132,0.09506666666666674
133,0.09506666666666674
134,0.09506666666666674
135,0.09200000000000008
136,0.09200000000000008
137,0.09200000000000008
138,0.0889333333333334
139,0.0889333333333334
140,0.0889333333333334
141,0.08586666666666673
142,0.08586666666666673
143,0.07973333333333339
144,0.07973333333333339
145,0.07973333333333339
146,0.07973333333333339
147,0.07973333333333339
148,0.07973333333333339
149,0.07973333333333339
150,0.07973333333333339
151,0.07973333333333339
152,0.07666666666666672
153,0.07666666666666672
154,0.07666666666666672
155,0.07666666666666672
156,0.07666666666666672
157,0.07666666666666672
158,0.07360000000000004
159,0.07360000000000004
160,0.07053333333333336
161,0.0674666666666667
162,0.0674666666666667
163,0.0674666666666667
164,0.0674666666666667
165,0.0674666666666667
166,0.0674666666666667
167,0.0674666666666667
168,0.0674666666666667
169,0.0674666666666667
170,0.0674666666666667
171,0.06440000000000003
172,0.06440000000000003
173,0.06440000000000003
174,0.06440000000000003
175,0.06440000000000003
176,0.06440000000000003
177,0.06133333333333335
178,0.06133333333333335
179,0.06133333333333335
180,0.06133333333333335
181,0.06133333333333335
182,0.06133333333333335
183,0.06133333333333335
184,0.06133333333333335
185,0.05826666666666668
186,0.05826666666666668
187,0.055200000000000006
188,0.05213333333333334
189,0.04906666666666667
190,0.04906666666666667
191,0.046
192,0.046
193,0.046
194,0.04293333333333334
195,0.04293333333333334
196,0.04293333333333334
197,0.04293333333333334
198,0.04293333333333334
199,0.03986666666666667
200,0.03986666666666667
201,0.03986666666666667
202,0.03986666666666667
203,0.03986666666666667
204,0.03986666666666667
205,0.03986666666666667
206,0.036800000000000006
207,0.036800000000000006
208,0.036800000000000006
209,0.036800000000000006
210,0.036800000000000006
211,0.036800000000000006
212,0.036800000000000006
213,0.036800000000000006
214,0.036800000000000006
215,0.036800000000000006
216,0.036800000000000006
217,0.036800000000000006
218,0.03373333333333334
219,0.03373333333333334
220,0.03373333333333334
221,0.030666666666666672
222,0.030666666666666672
223,0.030666666666666672
224,0.030666666666666672
225,0.030666666666666672
226,0.030666666666666672
227,0.030666666666666672
228,0.030666666666666672
229,0.030666666666666672
230,0.030666666666666672
231,0.030666666666666672
232,0.030666666666666672
233,0.030666666666666672
234,0.030666666666666672
235,0.030666666666666672
236,0.030666666666666672
237,0.030666666666666672
238,0.030666666666666672
239,0.027600000000000003
240,0.027600000000000003
241,0.027600000000000003
242,0.027600000000000003
243,0.027600000000000003
244,0.027600000000000003
245,0.027600000000000003
246,0.027600000000000003
247,0.027600000000000003
248,0.027600000000000003
249,0.027600000000000003
250,0.027600000000000003
251,0.027600000000000003
252,0.027600000000000003
253,0.027600000000000003
254,0.027600000000000003
255,0.027600000000000003
256,0.024533333333333334
257,0.024533333333333334
258,0.024533333333333334
259,0.024533333333333334
260,0.024533333333333334
261,0.024533333333333334
262,0.024533333333333334
263,0.024533333333333334
264,0.024533333333333334
265,0.02146666666666667
266,0.02146666666666667
267,0.02146666666666667
268,0.02146666666666667
269,0.02146666666666667
270,0.02146666666666667
271,0.02146666666666667
272,0.02146666666666667
273,0.02146666666666667
274,0.018400000000000003
275,0.018400000000000003
276,0.018400000000000003
277,0.018400000000000003
278,0.018400000000000003
279,0.018400000000000003
280,0.018400000000000003
281,0.018400000000000003
282,0.018400000000000003
283,0.018400000000000003
284,0.018400000000000003
285,0.018400000000000003
286,0.018400000000000003
287,0.015333333333333336
288,0.015333333333333336
289,0.015333333333333336
290,0.012266666666666667
291,0.012266666666666667
292,0.012266666666666667
293,0.012266666666666667
294,0.012266666666666667
295,0.012266666666666667
