,Weekend - Level 2 - Diversified (Median) of 100 EVs
0,1.104
1,1.104
2,1.0672000000000001
3,1.104
4,1.0672000000000001
5,1.0304
6,1.0304
7,1.0304
8,1.0304
9,1.0304
10,1.0304
11,1.0304
12,1.0304
13,1.0304
14,0.9936
15,0.9568000000000001
16,0.9568000000000001
17,0.9568000000000001
18,0.9568000000000001
19,0.9568000000000001
20,0.9568000000000001
21,0.9568000000000001
22,0.9568000000000001
23,0.9568000000000001
24,0.8832000000000001
25,0.8832000000000001
26,0.8832000000000001
27,0.8832000000000001
28,0.8832000000000001
29,0.8832000000000001
30,0.8832000000000001
31,0.8832000000000001
32,0.8832000000000001
33,0.8832000000000001
34,0.8832000000000001
35,0.8832000000000001
36,0.8096000000000001
37,0.8096000000000001
38,0.8096000000000001
39,0.8096000000000001
40,0.8096000000000001
41,0.8096000000000001
42,0.8096000000000001
43,0.8096000000000001
44,0.8096000000000001
45,0.8096000000000001
46,0.8096000000000001
47,0.8096000000000001
48,0.8096000000000001
49,0.8096000000000001
50,0.8096000000000001
51,0.8096000000000001
52,0.8096000000000001
53,0.8096000000000001
54,0.8096000000000001
55,0.8096000000000001
56,0.8096000000000001
57,0.7728000000000002
58,0.7360000000000001
59,0.7728000000000002
60,0.7728000000000002
61,0.8096000000000001
62,0.8096000000000001
63,0.8096000000000001
64,0.8096000000000001
65,0.7360000000000001
66,0.7360000000000001
67,0.7360000000000001
68,0.7360000000000001
69,0.7360000000000001
70,0.7360000000000001
71,0.7360000000000001
72,0.7360000000000001
73,0.6624000000000001
74,0.6624000000000001
75,0.6624000000000001
76,0.6624000000000001
77,0.6624000000000001
78,0.6624000000000001
79,0.6624000000000001
80,0.6624000000000001
81,0.6624000000000001
82,0.6624000000000001
83,0.6624000000000001
84,0.6624000000000001
85,0.6624000000000001
86,0.6624000000000001
87,0.6624000000000001
88,0.6256
89,0.5888
90,0.5888
91,0.5888
92,0.5888
93,0.5888
94,0.5888
95,0.5888
96,0.5888
97,0.5888
98,0.5888
99,0.5888
100,0.5888
101,0.5888
102,0.5888
103,0.5888
104,0.5888
105,0.5888
106,0.5888
107,0.5888
108,0.552
109,0.5152
110,0.5152
111,0.5152
112,0.5152
113,0.5152
114,0.5152
115,0.5152
116,0.5152
117,0.5152
118,0.5152
119,0.5152
120,0.5152
121,0.5152
122,0.5152
123,0.5152
124,0.44160000000000005
125,0.44160000000000005
126,0.44160000000000005
127,0.44160000000000005
128,0.44160000000000005
129,0.44160000000000005
130,0.44160000000000005
131,0.44160000000000005
132,0.44160000000000005
133,0.44160000000000005
134,0.44160000000000005
135,0.44160000000000005
136,0.44160000000000005
137,0.40480000000000005
138,0.36800000000000005
139,0.36800000000000005
140,0.36800000000000005
141,0.36800000000000005
142,0.36800000000000005
143,0.36800000000000005
144,0.36800000000000005
145,0.36800000000000005
146,0.36800000000000005
147,0.36800000000000005
148,0.36800000000000005
149,0.36800000000000005
150,0.36800000000000005
151,0.36800000000000005
152,0.36800000000000005
153,0.36800000000000005
154,0.36800000000000005
155,0.33120000000000005
156,0.33120000000000005
157,0.33120000000000005
158,0.33120000000000005
159,0.2944
160,0.2944
161,0.2944
162,0.2944
163,0.2944
164,0.2944
165,0.2944
166,0.2944
167,0.2944
168,0.2944
169,0.2944
170,0.2944
171,0.2944
172,0.2944
173,0.2944
174,0.2944
175,0.2944
176,0.2944
177,0.2944
178,0.2944
179,0.2944
180,0.2944
181,0.2576
182,0.2576
183,0.2576
184,0.2576
185,0.2576
186,0.2576
187,0.2944
188,0.2576
189,0.2576
190,0.2576
191,0.2576
192,0.2576
193,0.2576
194,0.2576
195,0.22080000000000002
196,0.22080000000000002
197,0.22080000000000002
198,0.22080000000000002
199,0.22080000000000002
200,0.22080000000000002
201,0.22080000000000002
202,0.22080000000000002
203,0.22080000000000002
204,0.22080000000000002
205,0.22080000000000002
206,0.22080000000000002
207,0.22080000000000002
208,0.22080000000000002
209,0.22080000000000002
210,0.22080000000000002
211,0.22080000000000002
