,Weekday - Level 2 - Diversified (Median) of 100 EVs
0,0.9273600000000001
1,0.9273600000000001
2,0.9273600000000001
3,0.87584
4,0.87584
5,0.87584
6,0.87584
7,0.85008
8,0.8243199999999999
9,0.8243199999999999
10,0.8243199999999999
11,0.8243199999999999
12,0.8243199999999999
13,0.8243199999999999
14,0.8243199999999999
15,0.8243199999999999
16,0.8243199999999999
17,0.8243199999999999
18,0.8243199999999999
19,0.8243199999999999
20,0.8243199999999999
21,0.7728
22,0.7728
23,0.7728
24,0.7728
25,0.7728
26,0.7728
27,0.7728
28,0.7728
29,0.7728
30,0.7728
31,0.7728
32,0.7728
33,0.7212799999999999
34,0.7212799999999999
35,0.7212799999999999
36,0.7212799999999999
37,0.7212799999999999
38,0.7212799999999999
39,0.7212799999999999
40,0.7212799999999999
41,0.66976
42,0.66976
43,0.66976
44,0.66976
45,0.66976
46,0.66976
47,0.66976
48,0.66976
49,0.66976
50,0.644
51,0.644
52,0.644
53,0.61824
54,0.61824
55,0.61824
56,0.61824
57,0.61824
58,0.61824
59,0.61824
60,0.61824
61,0.61824
62,0.61824
63,0.61824
64,0.59248
65,0.56672
66,0.56672
67,0.56672
68,0.56672
69,0.56672
70,0.56672
71,0.56672
72,0.56672
73,0.56672
74,0.56672
75,0.5152
76,0.5152
77,0.5152
78,0.5152
79,0.5152
80,0.5152
81,0.5152
82,0.5152
83,0.5152
84,0.5152
85,0.46368000000000004
86,0.46368000000000004
87,0.46368000000000004
88,0.46368000000000004
89,0.46368000000000004
90,0.46368000000000004
91,0.46368000000000004
92,0.46368000000000004
93,0.46368000000000004
94,0.46368000000000004
95,0.41215999999999997
96,0.41215999999999997
97,0.41215999999999997
98,0.38639999999999997
99,0.38639999999999997
100,0.38639999999999997
101,0.38639999999999997
102,0.36063999999999996
103,0.36063999999999996
104,0.36063999999999996
105,0.36063999999999996
106,0.36063999999999996
107,0.36063999999999996
108,0.36063999999999996
109,0.36063999999999996
110,0.36063999999999996
111,0.36063999999999996
112,0.36063999999999996
113,0.36063999999999996
114,0.36063999999999996
115,0.36063999999999996
116,0.33487999999999996
117,0.30912
118,0.30912
119,0.30912
120,0.30912
121,0.30912
122,0.30912
123,0.30912
124,0.30912
125,0.30912
126,0.30912
127,0.30912
128,0.28336
129,0.28336
130,0.28336
131,0.2576
132,0.2576
133,0.2576
134,0.2576
135,0.2576
136,0.2576
137,0.2576
138,0.2576
139,0.2576
140,0.2576
141,0.2576
142,0.2576
143,0.20607999999999999
144,0.20607999999999999
145,0.20607999999999999
146,0.20607999999999999
147,0.20607999999999999
148,0.20607999999999999
149,0.20607999999999999
150,0.20607999999999999
151,0.20607999999999999
152,0.20607999999999999
153,0.20607999999999999
154,0.20607999999999999
155,0.20607999999999999
156,0.20607999999999999
157,0.15456
158,0.15456
159,0.15456
160,0.15456
161,0.15456
162,0.15456
163,0.15456
164,0.15456
165,0.15456
166,0.15456
167,0.15456
168,0.15456
169,0.15456
170,0.15456
171,0.15456
172,0.15456
173,0.15456
174,0.15456
175,0.15456
176,0.15456
177,0.15456
178,0.15456
179,0.15456
180,0.15456
181,0.15456
182,0.15456
183,0.15456
184,0.15456
185,0.15456
186,0.15456
187,0.15456
188,0.15456
189,0.15456
190,0.15456
191,0.15456
192,0.15456
193,0.15456
194,0.15456
195,0.15456
196,0.15456
197,0.15456
198,0.15456
199,0.15456
200,0.15456
201,0.15456
202,0.15456
203,0.15456
204,0.15456
205,0.15456
206,0.15456
207,0.10303999999999999
208,0.10303999999999999
209,0.10303999999999999
210,0.10303999999999999
211,0.10303999999999999
212,0.10303999999999999
213,0.10303999999999999
214,0.10303999999999999
215,0.10303999999999999
216,0.10303999999999999
217,0.10303999999999999
218,0.10303999999999999
219,0.10303999999999999
220,0.10303999999999999
221,0.10303999999999999
222,0.10303999999999999
223,0.10303999999999999
224,0.10303999999999999
225,0.10303999999999999
226,0.10303999999999999
227,0.10303999999999999
228,0.10303999999999999
229,0.10303999999999999
230,0.10303999999999999
231,0.10303999999999999
232,0.10303999999999999
233,0.10303999999999999
234,0.10303999999999999
235,0.10303999999999999
236,0.10303999999999999
237,0.10303999999999999
238,0.10303999999999999
239,0.10303999999999999
240,0.10303999999999999
241,0.10303999999999999
242,0.10303999999999999
243,0.051519999999999996
244,0.051519999999999996
245,0.051519999999999996
246,0.051519999999999996
247,0.051519999999999996
248,0.051519999999999996
249,0.051519999999999996
250,0.051519999999999996
251,0.051519999999999996
252,0.051519999999999996
253,0.051519999999999996
254,0.051519999999999996
255,0.051519999999999996
256,0.051519999999999996
257,0.051519999999999996
258,0.051519999999999996
259,0.051519999999999996
260,0.051519999999999996
261,0.051519999999999996
262,0.051519999999999996
263,0.051519999999999996
264,0.051519999999999996
265,0.051519999999999996
266,0.051519999999999996
267,0.051519999999999996
268,0.051519999999999996
269,0.051519999999999996
270,0.051519999999999996
271,0.051519999999999996
272,0.051519999999999996
273,0.051519999999999996
274,0.051519999999999996
275,0.051519999999999996
276,0.051519999999999996
277,0.051519999999999996
278,0.051519999999999996
279,0.051519999999999996
280,0.051519999999999996
281,0.051519999999999996
282,0.051519999999999996
283,0.051519999999999996
284,0.051519999999999996
285,0.051519999999999996
286,0.051519999999999996
287,0.051519999999999996
288,0.051519999999999996
289,0.051519999999999996
290,0.051519999999999996
291,0.051519999999999996
292,0.051519999999999996
293,0.051519999999999996
294,0.051519999999999996
295,0.051519999999999996
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.025759999999999998
370,0.025759999999999998
371,0.025759999999999998
372,0.025759999999999998
373,0.025759999999999998
374,0.025759999999999998
375,0.025759999999999998
376,0.025759999999999998
377,0.025759999999999998
378,0.025759999999999998
379,0.025759999999999998
380,0.051519999999999996
381,0.051519999999999996
382,0.051519999999999996
383,0.051519999999999996
384,0.051519999999999996
385,0.051519999999999996
386,0.051519999999999996
387,0.051519999999999996
388,0.051519999999999996
389,0.051519999999999996
390,0.051519999999999996
391,0.051519999999999996
392,0.051519999999999996
393,0.051519999999999996
394,0.051519999999999996
395,0.051519999999999996
396,0.051519999999999996
397,0.051519999999999996
398,0.051519999999999996
399,0.051519999999999996
400,0.051519999999999996
401,0.051519999999999996
402,0.051519999999999996
403,0.051519999999999996
404,0.051519999999999996
405,0.051519999999999996
406,0.051519999999999996
407,0.051519999999999996
408,0.051519999999999996
409,0.051519999999999996
410,0.051519999999999996
411,0.051519999999999996
412,0.051519999999999996
413,0.051519999999999996
414,0.051519999999999996
415,0.051519999999999996
416,0.051519999999999996
417,0.051519999999999996
418,0.051519999999999996
419,0.051519999999999996
420,0.051519999999999996
421,0.051519999999999996
422,0.051519999999999996
423,0.051519999999999996
424,0.051519999999999996
425,0.051519999999999996
426,0.051519999999999996
427,0.051519999999999996
428,0.051519999999999996
429,0.051519999999999996
430,0.051519999999999996
431,0.051519999999999996
432,0.10303999999999999
433,0.10303999999999999
434,0.10303999999999999
435,0.10303999999999999
436,0.10303999999999999
437,0.10303999999999999
438,0.10303999999999999
439,0.10303999999999999
440,0.10303999999999999
441,0.10303999999999999
442,0.10303999999999999
443,0.10303999999999999
444,0.10303999999999999
445,0.10303999999999999
446,0.10303999999999999
447,0.10303999999999999
448,0.10303999999999999
449,0.10303999999999999
450,0.10303999999999999
451,0.10303999999999999
452,0.10303999999999999
453,0.15456
454,0.15456
455,0.15456
456,0.15456
457,0.15456
458,0.15456
459,0.15456
460,0.15456
461,0.15456
462,0.15456
463,0.15456
464,0.15456
465,0.15456
466,0.15456
467,0.15456
468,0.15456
469,0.15456
470,0.15456
471,0.15456
472,0.15456
473,0.15456
474,0.15456
475,0.15456
476,0.15456
477,0.15456
478,0.20607999999999999
479,0.18031999999999998
480,0.20607999999999999
481,0.20607999999999999
482,0.20607999999999999
483,0.20607999999999999
484,0.20607999999999999
485,0.20607999999999999
486,0.20607999999999999
487,0.20607999999999999
488,0.20607999999999999
489,0.20607999999999999
490,0.20607999999999999
491,0.20607999999999999
492,0.20607999999999999
493,0.20607999999999999
494,0.20607999999999999
495,0.20607999999999999
496,0.20607999999999999
497,0.20607999999999999
498,0.20607999999999999
499,0.20607999999999999
500,0.20607999999999999
501,0.20607999999999999
502,0.23184
503,0.23184
504,0.23184
505,0.23184
506,0.23184
507,0.2576
508,0.2576
509,0.2576
510,0.2576
511,0.2576
512,0.2576
513,0.2576
514,0.2576
515,0.2576
516,0.2576
517,0.2576
518,0.2576
519,0.2576
520,0.2576
521,0.2576
522,0.2576
523,0.2576
524,0.2576
525,0.2576
526,0.2576
527,0.2576
528,0.28336
529,0.28336
530,0.28336
531,0.30912
532,0.30912
533,0.28336
534,0.30912
535,0.30912
536,0.30912
537,0.30912
538,0.30912
539,0.30912
540,0.30912
541,0.30912
542,0.30912
543,0.30912
544,0.30912
545,0.30912
546,0.30912
547,0.30912
548,0.30912
549,0.30912
550,0.30912
551,0.30912
552,0.30912
553,0.30912
554,0.30912
555,0.30912
556,0.36063999999999996
557,0.36063999999999996
558,0.36063999999999996
559,0.36063999999999996
560,0.36063999999999996
561,0.36063999999999996
562,0.36063999999999996
563,0.38639999999999997
564,0.36063999999999996
565,0.36063999999999996
566,0.36063999999999996
567,0.36063999999999996
568,0.38639999999999997
569,0.36063999999999996
570,0.36063999999999996
571,0.38639999999999997
572,0.41215999999999997
573,0.41215999999999997
574,0.41215999999999997
575,0.41215999999999997
576,0.41215999999999997
577,0.41215999999999997
578,0.41215999999999997
579,0.41215999999999997
580,0.41215999999999997
581,0.41215999999999997
582,0.41215999999999997
583,0.41215999999999997
584,0.41215999999999997
585,0.41215999999999997
586,0.41215999999999997
587,0.41215999999999997
588,0.41215999999999997
589,0.41215999999999997
590,0.41215999999999997
591,0.41215999999999997
592,0.41215999999999997
593,0.41215999999999997
594,0.41215999999999997
595,0.41215999999999997
596,0.41215999999999997
597,0.41215999999999997
598,0.41215999999999997
599,0.41215999999999997
600,0.41215999999999997
601,0.41215999999999997
602,0.41215999999999997
603,0.41215999999999997
604,0.41215999999999997
605,0.41215999999999997
606,0.41215999999999997
607,0.41215999999999997
608,0.41215999999999997
609,0.41215999999999997
610,0.41215999999999997
611,0.41215999999999997
612,0.41215999999999997
613,0.41215999999999997
614,0.41215999999999997
615,0.41215999999999997
616,0.41215999999999997
617,0.41215999999999997
618,0.41215999999999997
619,0.41215999999999997
620,0.41215999999999997
621,0.41215999999999997
622,0.41215999999999997
623,0.41215999999999997
624,0.41215999999999997
625,0.41215999999999997
626,0.41215999999999997
627,0.41215999999999997
628,0.41215999999999997
629,0.41215999999999997
630,0.41215999999999997
631,0.41215999999999997
632,0.41215999999999997
633,0.41215999999999997
634,0.41215999999999997
635,0.41215999999999997
636,0.41215999999999997
637,0.41215999999999997
638,0.41215999999999997
639,0.41215999999999997
640,0.41215999999999997
641,0.41215999999999997
642,0.41215999999999997
643,0.41215999999999997
644,0.41215999999999997
645,0.41215999999999997
646,0.41215999999999997
647,0.41215999999999997
648,0.41215999999999997
649,0.41215999999999997
650,0.36063999999999996
651,0.36063999999999996
652,0.41215999999999997
653,0.41215999999999997
654,0.38639999999999997
655,0.36063999999999996
656,0.41215999999999997
657,0.41215999999999997
658,0.41215999999999997
659,0.41215999999999997
660,0.41215999999999997
661,0.41215999999999997
662,0.41215999999999997
663,0.41215999999999997
664,0.41215999999999997
665,0.41215999999999997
666,0.41215999999999997
667,0.41215999999999997
668,0.41215999999999997
669,0.41215999999999997
670,0.41215999999999997
671,0.41215999999999997
672,0.38639999999999997
673,0.38639999999999997
674,0.36063999999999996
675,0.36063999999999996
676,0.36063999999999996
677,0.36063999999999996
678,0.36063999999999996
679,0.36063999999999996
680,0.36063999999999996
681,0.38639999999999997
682,0.38639999999999997
683,0.41215999999999997
684,0.41215999999999997
685,0.41215999999999997
686,0.41215999999999997
687,0.41215999999999997
688,0.41215999999999997
689,0.41215999999999997
690,0.46368000000000004
691,0.46368000000000004
692,0.46368000000000004
693,0.46368000000000004
694,0.46368000000000004
695,0.46368000000000004
696,0.46368000000000004
697,0.46368000000000004
698,0.46368000000000004
699,0.43792
700,0.43792
701,0.46368000000000004
702,0.43792
703,0.43792
704,0.43792
705,0.43792
706,0.46368000000000004
707,0.46368000000000004
708,0.46368000000000004
709,0.46368000000000004
710,0.46368000000000004
711,0.46368000000000004
712,0.46368000000000004
713,0.46368000000000004
714,0.46368000000000004
715,0.46368000000000004
716,0.46368000000000004
717,0.46368000000000004
718,0.46368000000000004
719,0.46368000000000004
720,0.46368000000000004
721,0.46368000000000004
722,0.46368000000000004
723,0.46368000000000004
724,0.46368000000000004
725,0.46368000000000004
726,0.46368000000000004
727,0.46368000000000004
728,0.46368000000000004
729,0.46368000000000004
730,0.46368000000000004
731,0.46368000000000004
732,0.46368000000000004
733,0.46368000000000004
734,0.46368000000000004
735,0.46368000000000004
736,0.46368000000000004
737,0.46368000000000004
738,0.46368000000000004
739,0.46368000000000004
740,0.5152
741,0.5152
742,0.48944
743,0.48944
744,0.5152
745,0.5152
746,0.5152
747,0.48944
748,0.48944
