,"Weekend - Level 1 - Diversified (Average) of 1,200 EVs"
0,0.24686666666666704
1,0.24901333333333373
2,0.24901333333333373
3,0.24686666666666704
4,0.23828000000000035
5,0.23398666666666704
6,0.22969333333333367
7,0.22969333333333367
8,0.23184000000000032
9,0.22540000000000035
10,0.22325333333333366
11,0.21896000000000032
12,0.21896000000000032
13,0.21896000000000032
14,0.21681333333333366
15,0.21681333333333366
16,0.21681333333333366
17,0.21466666666666698
18,0.21466666666666698
19,0.21037333333333366
20,0.21037333333333366
21,0.20393333333333363
22,0.20178666666666698
23,0.20178666666666698
24,0.19964000000000032
25,0.1974933333333336
26,0.19534666666666695
27,0.1932000000000003
28,0.19534666666666695
29,0.19534666666666695
30,0.19534666666666695
31,0.1910533333333336
32,0.18890666666666694
33,0.1867600000000003
34,0.18246666666666692
35,0.18032000000000026
36,0.17602666666666694
37,0.17173333333333357
38,0.17173333333333357
39,0.16744000000000023
40,0.16744000000000023
41,0.16100000000000023
42,0.1545600000000002
43,0.1481200000000002
44,0.15026666666666688
45,0.1481200000000002
46,0.15026666666666688
47,0.15026666666666688
48,0.15026666666666688
49,0.15026666666666688
50,0.15026666666666688
51,0.15026666666666688
52,0.15026666666666688
53,0.14382666666666685
54,0.14382666666666685
55,0.1416800000000002
56,0.13524000000000017
57,0.13524000000000017
58,0.13524000000000017
59,0.13524000000000017
60,0.12880000000000016
61,0.12450666666666682
62,0.12021333333333348
63,0.1180666666666668
64,0.1180666666666668
65,0.1180666666666668
66,0.1180666666666668
67,0.1180666666666668
68,0.1180666666666668
69,0.11592000000000015
70,0.11377333333333346
71,0.11377333333333346
72,0.11377333333333346
73,0.1116266666666668
74,0.1116266666666668
75,0.1116266666666668
76,0.1116266666666668
77,0.1116266666666668
78,0.1116266666666668
79,0.1116266666666668
80,0.1116266666666668
81,0.11377333333333346
82,0.10518666666666679
83,0.10518666666666679
84,0.10089333333333345
85,0.09874666666666679
86,0.09874666666666679
87,0.09445333333333343
88,0.09230666666666677
89,0.09230666666666677
90,0.09230666666666677
91,0.09016000000000009
92,0.08586666666666676
93,0.08372000000000009
94,0.08372000000000009
95,0.08372000000000009
96,0.08157333333333341
97,0.08157333333333341
98,0.07942666666666674
99,0.07942666666666674
100,0.07942666666666674
101,0.07942666666666674
102,0.07942666666666674
103,0.07942666666666674
104,0.07942666666666674
105,0.07728000000000007
106,0.07728000000000007
107,0.07298666666666674
108,0.07298666666666674
109,0.07298666666666674
110,0.07298666666666674
111,0.07298666666666674
112,0.07298666666666674
113,0.07298666666666674
114,0.07298666666666674
115,0.07298666666666674
116,0.07298666666666674
117,0.07298666666666674
118,0.07084000000000006
119,0.07084000000000006
120,0.07084000000000006
121,0.07084000000000006
122,0.07084000000000006
123,0.07084000000000006
124,0.07084000000000006
125,0.06869333333333338
126,0.06869333333333338
127,0.06869333333333338
128,0.06654666666666671
129,0.06654666666666671
130,0.06654666666666671
131,0.06654666666666671
132,0.06654666666666671
133,0.06654666666666671
134,0.06654666666666671
135,0.06440000000000005
136,0.06440000000000005
137,0.06440000000000005
138,0.06225333333333338
139,0.06225333333333338
140,0.06225333333333338
141,0.060106666666666704
142,0.060106666666666704
143,0.05581333333333337
144,0.05581333333333337
145,0.05581333333333337
146,0.05581333333333337
147,0.05581333333333337
148,0.05581333333333337
149,0.05581333333333337
150,0.05581333333333337
151,0.05581333333333337
152,0.053666666666666696
153,0.053666666666666696
154,0.053666666666666696
155,0.053666666666666696
156,0.053666666666666696
157,0.053666666666666696
158,0.051520000000000024
159,0.051520000000000024
160,0.04937333333333335
161,0.04722666666666669
162,0.04722666666666669
163,0.04722666666666669
164,0.04722666666666669
165,0.04722666666666669
166,0.04722666666666669
167,0.04722666666666669
168,0.04722666666666669
169,0.04722666666666669
170,0.04722666666666669
171,0.045080000000000016
172,0.045080000000000016
173,0.045080000000000016
174,0.045080000000000016
175,0.045080000000000016
176,0.045080000000000016
177,0.042933333333333344
178,0.042933333333333344
179,0.042933333333333344
180,0.042933333333333344
181,0.042933333333333344
182,0.042933333333333344
183,0.042933333333333344
184,0.042933333333333344
185,0.04078666666666667
186,0.04078666666666667
187,0.03864
188,0.036493333333333336
189,0.034346666666666664
190,0.034346666666666664
191,0.0322
192,0.0322
193,0.0322
194,0.030053333333333335
195,0.030053333333333335
196,0.030053333333333335
197,0.030053333333333335
198,0.030053333333333335
199,0.027906666666666666
200,0.027906666666666666
201,0.027906666666666666
202,0.027906666666666666
203,0.027906666666666666
204,0.027906666666666666
205,0.027906666666666666
206,0.02576
207,0.02576
208,0.02576
209,0.02576
210,0.02576
211,0.02576
212,0.02576
213,0.02576
214,0.02576
215,0.02576
216,0.02576
217,0.02576
218,0.023613333333333333
219,0.023613333333333333
220,0.023613333333333333
221,0.02146666666666667
222,0.02146666666666667
223,0.02146666666666667
224,0.02146666666666667
225,0.02146666666666667
226,0.02146666666666667
227,0.02146666666666667
228,0.02146666666666667
229,0.02146666666666667
230,0.02146666666666667
231,0.02146666666666667
232,0.02146666666666667
233,0.02146666666666667
234,0.02146666666666667
235,0.02146666666666667
236,0.02146666666666667
237,0.02146666666666667
238,0.02146666666666667
239,0.01932
240,0.01932
241,0.01932
242,0.01932
243,0.01932
244,0.01932
245,0.01932
246,0.01932
247,0.01932
248,0.01932
249,0.01932
250,0.01932
251,0.01932
252,0.01932
253,0.01932
254,0.01932
255,0.01932
256,0.017173333333333332
257,0.017173333333333332
258,0.017173333333333332
259,0.017173333333333332
260,0.017173333333333332
261,0.017173333333333332
262,0.017173333333333332
263,0.017173333333333332
264,0.017173333333333332
265,0.015026666666666667
266,0.015026666666666667
267,0.015026666666666667
268,0.015026666666666667
269,0.015026666666666667
270,0.015026666666666667
271,0.015026666666666667
272,0.015026666666666667
273,0.015026666666666667
274,0.01288
275,0.01288
276,0.01288
277,0.01288
278,0.01288
279,0.01288
280,0.01288
281,0.01288
282,0.01288
283,0.01288
284,0.01288
285,0.01288
286,0.01288
287,0.010733333333333334
288,0.010733333333333334
289,0.010733333333333334
290,0.008586666666666666
291,0.008586666666666666
292,0.008586666666666666
293,0.008586666666666666
294,0.008586666666666666
295,0.008586666666666666
296,0.008586666666666666
297,0.008586666666666666
298,0.00644
299,0.00644
300,0.00644
301,0.00644
302,0.004293333333333333
303,0.004293333333333333
304,0.004293333333333333
305,0.004293333333333333
306,0.004293333333333333
307,0.004293333333333333
308,0.004293333333333333
309,0.004293333333333333
310,0.004293333333333333
311,0.004293333333333333
312,0.004293333333333333
313,0.004293333333333333
314,0.004293333333333333
315,0.004293333333333333
316,0.004293333333333333
317,0.004293333333333333
318,0.004293333333333333
319,0.004293333333333333
320,0.004293333333333333
321,0.004293333333333333
322,0.004293333333333333
323,0.004293333333333333
324,0.004293333333333333
325,0.004293333333333333
326,0.004293333333333333
327,0.004293333333333333
328,0.004293333333333333
329,0.004293333333333333
330,0.004293333333333333
331,0.004293333333333333
332,0.004293333333333333
333,0.004293333333333333
334,0.004293333333333333
335,0.004293333333333333
336,0.004293333333333333
337,0.004293333333333333
338,0.004293333333333333
339,0.004293333333333333
340,0.004293333333333333
341,0.004293333333333333
342,0.004293333333333333
343,0.004293333333333333
344,0.004293333333333333
345,0.004293333333333333
346,0.004293333333333333
347,0.004293333333333333
348,0.004293333333333333
349,0.004293333333333333
350,0.004293333333333333
351,0.004293333333333333
352,0.0021466666666666665
353,0.0021466666666666665
354,0.0021466666666666665
355,0.0021466666666666665
356,0.0021466666666666665
357,0.0021466666666666665
358,0.0021466666666666665
359,0.0021466666666666665
360,0.0021466666666666665
361,0.0021466666666666665
362,0.0021466666666666665
363,0.0021466666666666665
364,0.0021466666666666665
365,0.0021466666666666665
366,0.0021466666666666665
367,0.0021466666666666665
368,0.0021466666666666665
369,0.0021466666666666665
370,0.0021466666666666665
371,0.0021466666666666665
372,0.0021466666666666665
373,0.0021466666666666665
