,Weekend - Level 2 - Diversified (Median) of 100 EVs
0,0.7728
1,0.7728
2,0.7470399999999999
3,0.7728
4,0.7470399999999999
5,0.7212799999999999
6,0.7212799999999999
7,0.7212799999999999
8,0.7212799999999999
9,0.7212799999999999
10,0.7212799999999999
11,0.7212799999999999
12,0.7212799999999999
13,0.7212799999999999
14,0.6955199999999999
15,0.66976
16,0.66976
17,0.66976
18,0.66976
19,0.66976
20,0.66976
21,0.66976
22,0.66976
23,0.66976
24,0.61824
25,0.61824
26,0.61824
27,0.61824
28,0.61824
29,0.61824
30,0.61824
31,0.61824
32,0.61824
33,0.61824
34,0.61824
35,0.61824
36,0.56672
37,0.56672
38,0.56672
39,0.56672
40,0.56672
41,0.56672
42,0.56672
43,0.56672
44,0.56672
45,0.56672
46,0.56672
47,0.56672
48,0.56672
49,0.56672
50,0.56672
51,0.56672
52,0.56672
53,0.56672
54,0.56672
55,0.56672
56,0.56672
57,0.54096
58,0.5152
59,0.54096
60,0.54096
61,0.56672
62,0.56672
63,0.56672
64,0.56672
65,0.5152
66,0.5152
67,0.5152
68,0.5152
69,0.5152
70,0.5152
71,0.5152
72,0.5152
73,0.46368000000000004
74,0.46368000000000004
75,0.46368000000000004
76,0.46368000000000004
77,0.46368000000000004
78,0.46368000000000004
79,0.46368000000000004
80,0.46368000000000004
81,0.46368000000000004
82,0.46368000000000004
83,0.46368000000000004
84,0.46368000000000004
85,0.46368000000000004
86,0.46368000000000004
87,0.46368000000000004
88,0.43792
89,0.41215999999999997
90,0.41215999999999997
91,0.41215999999999997
92,0.41215999999999997
93,0.41215999999999997
94,0.41215999999999997
95,0.41215999999999997
96,0.41215999999999997
97,0.41215999999999997
98,0.41215999999999997
99,0.41215999999999997
100,0.41215999999999997
101,0.41215999999999997
102,0.41215999999999997
103,0.41215999999999997
104,0.41215999999999997
105,0.41215999999999997
106,0.41215999999999997
107,0.41215999999999997
108,0.38639999999999997
109,0.36063999999999996
110,0.36063999999999996
